,Q_Value,Morans I,Moran I p,Mean,Variance,N
highway_residential,0.356731613473931,0.4817660828052574,0.0,153.01895734597156,19255.307697491073,39656
highway_primary,0.3657520450170061,0.22669414109715333,9.072742557236779e-13,14.109004739336493,829.774847824622,3679
amenity_hospital,0.47185527535542116,0.23313066956683967,2.0961010704922955e-13,0.23222748815165878,0.5764021473012736,53
amenity_place_of_worship,0.3983691046367236,0.23004386213070496,4.2521541843143495e-13,0.6066350710900474,1.5466858336515352,139
amenity_police,0.42155846791278095,0.13756007775746465,1.1191617637518192e-05,0.14218009478672985,0.15987960737629436,32
amenity_school,0.5281396731241081,0.35233217741113926,0.0,0.7582938388625592,2.3823364255070643,173
amenity_restaurant,0.3817141284084703,0.2677139501178264,0.0,1.09478672985782,9.87727140001348,234
leisure_*,0.5555024843415097,0.5053590518042808,0.0,5.450236966824645,86.09586487275668,1285
tourism_*,0.14404826603049792,0.15179757032835414,1.3502640558993306e-06,0.8767772511848341,18.66728060915074,188
shop_mall,0.37179712889103733,0.1904645551071102,1.6841501526698721e-09,0.27488151658767773,0.7964780665304012,63
shop_supermarket,0.27506983675572816,0.07452276040027413,0.014400225130531519,0.2132701421800948,0.3194447564070887,53
highway_bus_stop,0.593354704266496,0.49412287352349954,0.0,1.8578199052132702,12.036656858561125,396
natural_sand,0.12478746093646065,0.04073692984008969,0.16022305809593518,0.16587677725118483,0.2900204397924575,44
natural_wood,0.20924589451436204,0.11223007084529288,0.0003050681695859758,0.26540284360189575,1.104916780844994,62
natural_beach,0.40547451550594804,0.2537036507871712,1.5543122344752192e-15,0.12796208530805686,0.500213382448732,27
